id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
33002339989,330023,RJ,Arma��o Dos B�zios,CRAS PERCILIANA RODRIGUES,,,JOS� GON�ALVES - 44,44,,,JOS� GON�ALVES,28953690,,2023-10-03T04:07:51.722Z
33002503094,330025,RJ,Arraial do Cabo,CRAS AMADO JULIAO DO NASCIMENTO,,,Fernando Melo - 40,40,SN,,Praia dos Anjos,28930000,-22.964024223590403\,-42.022544145584106,2023-10-03T04:07:45.679Z
33002503551,330025,RJ,Arraial do Cabo,CRAS JOS� HENRIQUE DA SILVA,,,S�O JANU�RIO - 53,53,,Pr�ximo ao PSF,FIGUEIRA,28930000,-22.9426094\,-42.1801699,2023-10-03T04:07:45.679Z
33002539705,330025,RJ,Arraial do Cabo,CRAS FRANCISCO RODRIGUES,,,Geraldo Alves C�ndido - 14,14,B,,Monte Alto,28930000,,2023-10-03T04:07:51.722Z
33003003590,330030,RJ,Barra do Pira�,CRAS Vargem Alegre,,,Elias Antonio - 26,26,,,Santa Rosa,27155000,-22.47\,-43.82600000000002,2023-10-03T04:07:45.559Z
33003003591,330030,RJ,Barra do Pira�,CRAS Areal,,,Teresopolis - 52,52,,,Areal,27150090,-22.501693795131178\,-43.84913921356202,2023-10-03T04:07:45.559Z
33003003593,330030,RJ,Barra do Pira�,CRAS California,,,NOSSA SENHORA DA CONCEI��O - 384,384,A,,Morada do Vale,27165000,-22.481967447934824\,-44.04268741607667,2023-10-03T04:07:45.559Z
33003034595,330030,RJ,Barra do Pira�,CRAS Centro,,,DONA GUILHERMINA - 84,84,,,Centro,27120080,-22.47\,-43.82600000000002,2023-10-03T04:07:51.662Z
33004000422,330040,RJ,Barra Mansa,CRAS S�O PEDRO,,, RODOLPHO MARQUES - 356,356,,,S�O PEDRO,27340040,-22.5709093\,-44.1775562,2023-10-03T04:07:46.407Z
33004000565,330040,RJ,Barra Mansa,CRAS PENA FORTE,,,Geralda Maria Jesus - 7,7,,antigo col�gio Pena Forte,VILA CORINGA,27321370,-22.526449353279364\,-44.17439058423043,2023-10-03T04:07:46.472Z
33004000605,330040,RJ,Barra Mansa,CRAS PARA�SO DE CIMA,,,IZALINO GOMES DA SILVA - 0,0,,anexo ao CIEP Ada Bogato,PARA�SO DE CIMA,27400000,-22.5512507\,-44.127817,2023-10-03T04:07:46.605Z
33004006021,330040,RJ,Barra Mansa,CRAS ANO BOM,,,Presidente Kennedy - 3399,3399,,em frente ao Ciep 292,ANO BOM,27325001,-22.532038624387987\,-44.15008574724198,2023-10-03T04:07:46.472Z
33004034267,330040,RJ,Barra Mansa,CRAS VILA NATAL,,,Manoel Anisio Rodrigues - 4,4,,Pr�ximo ao Col�gio Dami�o Medeiros,Para�so de Baixo,27330000,-22.544\,-44.17099999999999,2023-10-03T04:07:50.107Z
33004034285,330040,RJ,Barra Mansa,CRAS MORADA VERDE,,,A - 78,78,,ANTIGA CRECHE MUNICIPAL,MORADA VERDE,27350480,-22.5394157\,-44.1975225,2023-10-03T04:07:49.142Z
33004502729,330045,RJ,Belford Roxo,CRAS I - XAVANTES - IOLANDA COSTA,,,ATL�NTICA  - 850,850,casa,,XAVANTES,26160630,-22.738724324017447\,-43.404278755187995,2023-10-03T04:07:45.745Z
33004504347,330045,RJ,Belford Roxo,CRAS II SANTA MARTA - JOSE DE MACEDO CAZAROTTI,,,DR. ARMANDO RESENDE - 88,88,,,SANTA MARTA,26173110,-22.7313093\,-43.3540238,2023-10-03T04:07:45.679Z
33004504348,330045,RJ,Belford Roxo,CRAS III - NOVA AURORA,,,NOVA AURORA - 35,35,,,NOVA AURORA,26155070,-22.7237735\,-43.4000488,2023-10-03T04:07:45.679Z
33004504350,330045,RJ,Belford Roxo,CRAS IV - LOTE XV - PADRE EG�DIO CARMELINCK,,,ALAMEDA ARGENTINA - 10,10,CASA,,JARDIM BRASIL,26185010,-22.7111439\,-43.3299344,2023-10-03T04:07:45.745Z
33004504351,330045,RJ,Belford Roxo,CRAS V - SHANGRIL� - IRM� DULCE MARIA DE SOUZA BRITO LOPES PONTES,,,ARATICUM - 1005,1005,,,SHANGRIL�,26150090,-22.716931\,-43.4119879,2023-10-03T04:07:45.745Z
33004504352,330045,RJ,Belford Roxo,CRAS VI - BOM PASTOR,,,MARINALVA SOUZA DA SILVA - 120,120,,,JARDIM BOM PASTOR,26110272,-22.7534867\,-43.3751418,2023-10-03T04:07:45.559Z
33004504867,330045,RJ,Belford Roxo,CRAS VII - ZILDA ARNS NEUMANN - SARGENTO RONCALLI,,,JACKSON MARTINS - 84,84,APTO 102,,SARGENTO RONCALLI,26178400,-22.7166013\,-43.3783909,2023-10-03T04:07:45.559Z
33004506749,330045,RJ,Belford Roxo,CRAS IX - JARDIM DO IP� - PR. REINALDO ALVES COSTA,,,ISITIBA - 0,0,CIEP VINICIUS DE MORAES,S/N�,PARQUE COLONIAL,26180000,-22.717883951769487\,-43.334841728210456,2023-10-03T04:07:45.745Z
33004514868,330045,RJ,Belford Roxo,CRAS VIII - PARQUE SU�CIA - DOROTHY MAE STONG,,,DA LIGA��O - 40,40,,,PARQUE SUECIA,26187180,-22.73089\,-43.3374593,2023-10-03T04:07:45.559Z
33004535305,330045,RJ,Belford Roxo,CRAS X - CENTRO - MAGDALENA DA SILVA MARQUES,,,AUGUSTO VASCO ARANHA - 215,215,LOTE 8 QUADRA B,,AREIA BRANCA,26135060,-22.75611855562811\,-43.40831279754639,2023-10-03T04:07:51.662Z
33004536079,330045,RJ,Belford Roxo,CRAS XI - WONA - TEREZINHA ALEXANDRINO DE OLIVEIRA,,,CROMITA - 00,00,Lote 30 - Quadra 01,Na pra�a do Wona, em frente ao Col�gio Estadual V�rzea da Alegria.,Jardim Piedade,26183830,-22.7225176\,-43.335509,2023-10-03T04:07:49.779Z
33004537041,330045,RJ,Belford Roxo,CRAS XII - BABI - NOSSA SENHORA DA CONCEI��O,,,DOS ADVOGADOS  - 1,1,LT 02 QD D,Ponte do Babi.,RECANTUS,26163210,-22.7163152\,-43.3829293,2023-10-03T04:07:49.910Z
33004538316,330045,RJ,Belford Roxo,CRAS XIII - SANTA TEREZA - MARIA DE F�TIMA SOUZA FIGUEIREDO,,,MANOEL DE OLIVEIRA - 96,96,,PR�XIMO A RODOVI�RIA DO PARQUE S�O JOS�.,PARQUE S�O JOS�,26193050,-22.7339671\,-43.3379906,2023-10-03T04:07:50.362Z
33005000556,330050,RJ,Bom Jardim,CRAS RENASCER,,,Rua Humberto Neves - 25,25,CASA,PR�DIO DA ANTIGA COMAVE,MARAVILHA,28660000,-22.159943614518404\,-42.41716146469117,2023-10-03T04:07:45.679Z
33005006750,330050,RJ,Bom Jardim,CRAS CENTRO,,,RUA NILO PE�ANHA  - 350,350,,EM FRENTE AO PR�DIO DA GUARDA,CENTRO,28660000,-22.1609687\,-42.426937899999984,2023-10-03T04:07:45.679Z
33006001724,330060,RJ,Bom Jesus do Itabapoana,CRAS - SANTA TEREZINHA,,,TENENTE JOS� TEIXEIRA - 1396,1396,,Pr�ximo ao PSF do Bairro do Santa Terezinha,SANTA TEREZINHA,28360000,-21.13774666031015\,-41.67968273162842,2023-10-03T04:07:48.618Z
33006006029,330060,RJ,Bom Jesus do Itabapoana,CRAS - BELA VISTA,,,OTAC�LIO DE AQUINO - 220,220,,AO LADO DA QUADRA E PRA�A DO BAIRRO.,BELA VISTA,28360000,-21.12709887367646\,-41.682944297790534,2023-10-03T04:07:48.618Z
33006034333,330060,RJ,Bom Jesus do Itabapoana,CRAS - Nova Bom Jesus,,, Projetada F - 00,00,,Pr�ximo e Igreja Cat�lica,Nova Bom Jesus - Usina Santa Isabel,28600000,-21.152976468836183\,-41.62166118621827,2023-10-03T04:07:50.172Z
33007003649,330070,RJ,Cabo Frio,CRAS - CENTRO DE REFER�NCIA DE ASSIST�NCIA SOCIAL VIRG�LIO CORR�A,,,Santo Ant�nio de Lisboa  - 29,29,,,Porto do Carro,28921120,-22.860328642048017\,-42.0326989889145,2023-10-03T04:07:49.074Z
33007003661,330070,RJ,Cabo Frio,CENTRO DE REFER�NCIA DE ASSIST�NCIA SOCIAL TEREZA FRANCISCONE,,,Estrada de Botafogo - 14,14,,Pr�ximo do ESF de Botafogo,BOTAFOGO,28927990,-22.726221009832116\,-42.03605971299112,2023-10-03T04:07:45.679Z
33007003662,330070,RJ,Cabo Frio,CRAS JARDIM ESPERAN�A,,,Estrada de B�zios, s/n� - 00,00,,,Jardim Esperan�a,28900000,-22.83742053622654\,-42.026234865188606,2023-10-03T04:07:49.074Z
33007003666,330070,RJ,Cabo Frio,CRAS - CENTRO DE REFER�NCIA DE ASSIST�NCIA SOCIAL PRAIA DO SIQUEIRA,,,Medeiros  - 14,14,,Pr�ximo a Associa��o de moradores.,Praia do Siqueira,28912195,-22.88020820595197\,-42.04967737197877,2023-10-03T04:07:45.679Z
33007003673,330070,RJ,Cabo Frio,CRAS - JUZETE TRINDADE CORREA,,,CANAD� - 156,156,,,JARDIM N�UTILUS,28909170,-22.9009748\,-42.0445699,2023-10-03T04:07:45.679Z
33007003675,330070,RJ,Cabo Frio,CRAS JO�O NASCIMENTO,,,das Marimbas - 0,0,2� DISTRITO - TAMOIOS,,Aquarius,28925886,-22.723288\,-42.02985,2023-10-03T04:07:49.074Z
33007035257,330070,RJ,Cabo Frio,CRAS DOMINGOS ANT�NIO SIQUEIRA,,,Carlos Gomes  - 11,11,,,JACAR�,28922470,-22.8697992297823\,-42.02385842800141,2023-10-03T04:07:51.722Z
33007038070,330070,RJ,Cabo Frio,CRAS CENTRAL GRAZIELLE AZEVEDO MARQUES,,,Nossa Senhora Aparecida  - 325,325,,Pr�ximo a 126� Delegacia de Pol�cia Civil.,Parque Central,28905190,-22.88806630605363\,-42.03309059143067,2023-10-03T04:07:50.038Z
33007039959,330070,RJ,Cabo Frio,CRAS MARIA JOAQUINA,,,Rua  Alegria  - 25,25,,Em frente ao Sal�o da Neide e pr�ximo a Mercearia do Zuca.,Maria Joaquina,28905000,,2023-10-03T04:07:49.591Z
33008003174,330080,RJ,Cachoeiras de Macacu,CRAS - Papucaia,,,UBALDO JOS� DA ROCHA - 470,470,,,Papucaia,28695000,-22.600164437993875\,-42.74207890033722,2023-10-03T04:07:45.679Z
33008006659,330080,RJ,Cachoeiras de Macacu,CRAS - Japu�ba,,,Macedo Soares - 0,0,,,Japuiba,28680000,-22.561262169602365\,-42.69332706928253,2023-10-03T04:07:45.679Z
33008006668,330080,RJ,Cachoeiras de Macacu,CRAS - Cachoeiras,,,AN�CIO MONTEIRO DASILVA  - 0,0,,,CENTRO,28680000,-22.469327230275226\,-42.64681220054627,2023-10-03T04:07:45.679Z
33009000552,330090,RJ,Cambuci,CRAS 1,,,de Exposi��es - Pavilh�o 1 - 01,01,,Parque de Exposi��es,Guarani,28430000,-21.572406499937006\,-41.92309856414795,2023-10-03T04:07:45.745Z
33009020345,330090,RJ,Cambuci,CRAS 2,,,Almeida Pereira - 144,144,,,CENTRO S�O JO�O DO PARA�SO,28450000,-21.414359642282538\,-41.81443691253663,2023-10-03T04:07:45.745Z
33009303715,330093,RJ,Carapebus,CRAS UB�S,,,RUA JO�O AUR�LIO ORTIZ - 207,207,,,UB�S,27998000,-22.21407633470201\,-41.662731170654304,2023-10-03T04:07:45.745Z
33009306716,330093,RJ,Carapebus,CRAS CENTRO,,,MANFRINE OLIVEIRA COUTINHO  - 40,40,,PRA�A CORDEIRO,PRA�A CORDEIRO,27998000,-22.1881053651772\,-41.6628921031952,2023-10-03T04:07:45.745Z
33009504440,330095,RJ,Comendador Levy Gasparian,CRAS - Afonso Arinos,,,Jaime Matos - 184,184,,Final da rua.,Afonso Arinos,25875000,-22.011734727454016\,-43.33381175994873,2023-10-03T04:07:45.559Z
33009506506,330095,RJ,Comendador Levy Gasparian,CRAS - Fonseca Almeida,,,Fonseca Almeida - 26,26,,Entrada Lateral-Perto PSF Fonseca Almeida,Fonseca Almeida,25870000,-22.064164445352286\,-43.206610679626465,2023-10-03T04:07:45.559Z
33010002794,330100,RJ,Campos Dos Goytacazes,CRAS Goitacazes,,,Ari Machado - 75,75,,Hospital S�o Jos�,Goitacazes,28110000,-21.82795864591849\,-41.282672882080085,2023-10-03T04:07:45.745Z
33010003008,330100,RJ,Campos Dos Goytacazes,CRAS Chatuba,,,Ma�aranduba - 00,00,Condom�nio Oswaldo Greg�rio,Condom�nio Oswaldo Greg�rio,Chatuba,28100000,-21.786381126129918\,-41.33992195129395,2023-10-03T04:07:45.745Z
33010003028,330100,RJ,Campos Dos Goytacazes,CRAS Codin,,,G - 18,18,,Pr�ximo ao Machado Viana,Codin,28090580,-21.713656240527694\,-41.291406154632575,2023-10-03T04:07:45.745Z
33010015288,330100,RJ,Campos Dos Goytacazes,CRAS JARDIM CARIOCA,,,SANTO ELIAS - 0,0,,Em frente a Escola Municipal Dr. Luiz Sobral,JARDIM CARIOCA,28080385,-21.74939548764035\,-41.32168292999268,2023-10-03T04:07:45.745Z
33010015294,330100,RJ,Campos Dos Goytacazes,CRAS CUSTOD�POLIS,,,Patr�cio Menezes - 127,127,Em frente a pracinha,,CUSTODOPOLIS,28085070,-21.723842731539214\,-41.31209135055543,2023-10-03T04:07:45.745Z
33010015296,330100,RJ,Campos Dos Goytacazes,CRAS ESPLANADA,,,WALTER SALES - 0,0,,Ao lado da Vila Ol�mpica do Pq Esplanada,PQ ESPLANADA,28055500,-21.74685436788153\,-41.36348247528077,2023-10-03T04:07:45.745Z
33010015302,330100,RJ,Campos Dos Goytacazes,CRAS Penha,,,Professor Henrique Vieira de Oliveira - 22,22,,rua em frente a farm�cia Leopoldina,Parque Santa Maria,28021340,-21.79558619807826\,-41.29159927368165,2023-10-03T04:07:45.745Z
33010015305,330100,RJ,Campos Dos Goytacazes,CRAS MATADOURO,,,Ad�o Pereira Nunes - 0,0,,ao lado da Portelinha (comunidade),MATADOURO,28015472,-21.759798661992075\,-41.295676231384284,2023-10-03T04:07:45.745Z
33010030245,330100,RJ,Campos Dos Goytacazes,CRAS TRAVESS�O,,,ANTONIO LUIZ DA SILVEIRA - 412,412,Antiga terceira idade,Ao lado do Supermercado Litoral,TRAVESS�O DE CAMPOS,28175000,-21.6100629\,-41.3119054,2023-10-03T04:07:45.745Z
33010030246,330100,RJ,Campos Dos Goytacazes,CRAS Parque Guar�s,,,Ibitioca - 180,180,casa,,Parque Guarus,28070420,-21.71871967456636\,-41.318142414093025,2023-10-03T04:07:45.745Z
33010034563,330100,RJ,Campos Dos Goytacazes,CRAS MORRO DO COCO,,,Nilo Pe�anha - 0,0,,Ao lado da Academia Bem estar,Morro do Coco,28178000,-21.37926701105105\,-41.3497817516327,2023-10-03T04:07:49.206Z
33010035787,330100,RJ,Campos Dos Goytacazes,CRAS URURA�,,,Engenheiro Luiz Carlos de Carvalho - 30,30,,,URURA�,28040300,-21.813053288085513\,-41.39783620834351,2023-10-03T04:07:51.722Z
33010038598,330100,RJ,Campos Dos Goytacazes,CRAS JOCKEY,,,Professor �lvaro Barcelos - 00,00,,Antiga Virgulino Ferreira Lampi�o,Jockey II,28020307,-21.772951021564527\,-41.28271579742432,2023-10-03T04:07:49.142Z
33011000554,330110,RJ,Cantagalo,CRAS SANTO ANTONIO,,,PROF: MANOEL VIEIRA BAPTISTA - 237,237,PR�DIO,,SANTO ANTONIO,28500000,-21.9947645047493\,-42.36621022224427,2023-10-03T04:07:45.679Z
33011006618,330110,RJ,Cantagalo,CRAS NOVO HORIZONTE,,,RUA F - 0,0,PR�DIO,Unidade B�sica de Sa�de,NOVO HORIZONTE,28500000,-21.947105725750415\,-42.34843254089356,2023-10-03T04:07:45.679Z
33011032177,330110,RJ,Cantagalo,CRAS Centro,,,Luiz Carlos Falc�o - 0,0,,Em Frente ao Detran,Centro,28500000,-21.98216981473714\,-42.36939668655396,2023-10-03T04:07:49.591Z
33011502842,330115,RJ,Cardoso Moreira,CRAS DE OUTEIRO,,,PRINCIPAL - 0,0,USINA DE OUTEIRO,perto do gin�sio poliesportivo,OUTEIRO,28180000,-21.596150576461426\,-41.43218994140626,2023-10-03T04:07:45.745Z
33011506228,330115,RJ,Cardoso Moreira,CRAS DE CARDOSO MOREIRA,,,SEBASTI�O ZAQUEU - 0,0,,Predio de Gera��o, trabalho e renda,centro,28180000,-38.27268853598096\,-14.765625000000002,2023-10-03T04:07:45.745Z
33012002540,330120,RJ,Carmo,CRAS INFLU�NCIA,,,Jose Ferreira Alves - 247,247,,,INFLU�NCIA,28640000,-21.872391593955854\,-42.65604972839356,2023-10-03T04:07:45.679Z
33012006804,330120,RJ,Carmo,CRAS CENTRAL,,,BAR�O DE APARECIDA - 301,301,LOJA 04,NA RUA DA ESCOLA ANT�NIO RUSSIER,CENTRO,28640000,-21.9354426\,-42.60689560000003,2023-10-03T04:07:45.679Z
33013001983,330130,RJ,Casimiro de Abreu,CRAS Professor Souza,,,Jo�o Soares - 468,468,,Em frente � Pra�a.,PROFESSOR SOUZA,28860000,-22.492148180267524\,-42.12477922439576,2023-10-03T04:07:45.745Z
33013015450,330130,RJ,Casimiro de Abreu,CRAS Casimiro de Abreu,,,PASTOR LUIZ LAURENTINO DA SILVA - 385,385,,ANTIGA VACA MEC�NICA, PR�XIMO � CRECHE MUNICIPAL NOSSA SENHORA DA SA�DE.,MATARUNA,28860000,-22.484247521219913\,-42.202541828155525,2023-10-03T04:07:45.745Z
33013036523,330130,RJ,Casimiro de Abreu,CRAS - BARRA DE S�O JO�O,,,do telegrafo - 434,434,miramar,perto da patrulha.,BARRA DE S�O JO�O,28880000,-22.561361247130826\,-41.98086261749268,2023-10-03T04:07:49.845Z
33014000493,330140,RJ,Concei��o de Macabu,CRAS USINA,,,VILA LEOLINDA - 20,20,,,USINA,28740000,-22.079913432509688\,-41.887435913085945,2023-10-03T04:07:45.745Z
33014015467,330140,RJ,Concei��o de Macabu,CRAS RHODIA,,,MARIA JULIA GOMES DE LEMOS - 41,41,CASA,,RHODIA,28740000,-22.07469379223828\,-41.86156868934632,2023-10-03T04:07:45.745Z
33014037647,330140,RJ,Concei��o de Macabu,CRAS CENTRAL,,,Maria Adelaide - 191,191,Sede,Prefeitura,Vila Nova,28740000,-22.08416853938512\,-41.87084913253785,2023-10-03T04:07:49.974Z
33015001230,330150,RJ,Cordeiro,CRAS MANANCIAL,,,Romualdo Pereira Lopes - 0,0,,proximo ao PSF DO Bairro,Manancial,28540000,-22.041606731983737\,-42.3721593618393,2023-10-03T04:07:45.679Z
33015001811,330150,RJ,Cordeiro,CRAS LAVRINHAS,,,Antonio Ribeiro de Moraes - 433,433,,Em frente a Ag�ncia de Correios,Lavrinhas,28540000,-22.01354502989125\,-42.367293834686286,2023-10-03T04:07:45.679Z
33015001813,330150,RJ,Cordeiro,CRAS RODOLFO GON�ALVES,,,RUA MAESTRO JO�O MACEDO - 76,76,,PR�XIMO A C�MARA MUNICIPAL,Rodolfo Gon�alves,28540000,-22.03371540652126\,-42.375909090042114,2023-10-03T04:07:45.679Z
33016002670,330160,RJ,Duas Barras,CRAS / MONNERAT,,,Antonio Pereira da Silva - 0,0,,Ao lado do SPAM,CENTRO,28655000,-22.07502188959278\,-42.404265403747566,2023-10-03T04:07:45.679Z
33016006661,330160,RJ,Duas Barras,CRAS DUAS BARRAS - CEC�LIA GOMES BOTELHO LUTTERBACH,,,WERMELINGER - 01,01,,,CENTRO,28650000,-22.052239684086906\,-42.51804471015931,2023-10-03T04:07:45.679Z
33017004449,330170,RJ,Duque de Caxias,IMBARI�,,,FELICIANO SODRE - 0,0,,,IMBARI�,25266260,-22.786\,-43.31200000000001,2023-10-03T04:07:45.679Z
33017006610,330170,RJ,Duque de Caxias,BEIRA MAR,,,FRANCISCO ALVES - 0,0,00,Pr�ximo ao Posto de Sa�de da Fam�lia e FUNDEC.,PARQUE BEIRA MAR,25000000,-22.783501570858647\,-43.31153869628907,2023-10-03T04:07:45.679Z
33017006615,330170,RJ,Duque de Caxias,CRAS JARDIM GRAMACHO NOEL RIBEIRO,,,PIST�IA - 00,00,00,Pr�ximo ao CIEP 218,JARDIM GRAMACHO,25055120,-22.75726621999735\,-43.285446166992195,2023-10-03T04:07:45.679Z
33017012417,330170,RJ,Duque de Caxias,CRAS MARIA JOSE CARRILHO MOREIRA,,,Pinto Lira  - 0,0,00,Sal�o de festa: Ibiza fest,Engenho do Porto,25015220,-22.796706371636375\,-43.312933444976814,2023-10-03T04:07:45.679Z
33017012543,330170,RJ,Duque de Caxias,CRAS Pilar,,,Governador de Leonel de Moura Brizola  - 00,00,lote 10, quadra 43,Pr�ximo ao colegio Destaque,Pilar,25233000,-22.704290479247\,-43.304425477981574,2023-10-03T04:07:45.679Z
33017015477,330170,RJ,Duque de Caxias,CRAS FIGUEIRA,,,Washington Luis - 0,0,s/n,Ao lado da Escola Municipal Walter Russo,FIGUEIRA,25000000,-22.563701398615127\,-43.228011700000025,2023-10-03T04:07:45.679Z
33017015484,330170,RJ,Duque de Caxias,CRAS JARDIM PRIMAVERA,,,VICENTE CELESTINO - 615,615,00,,JARDIM PRIMAVERA,25220020,-22.6912214\,-43.2575099,2023-10-03T04:07:45.679Z
33017035591,330170,RJ,Duque de Caxias,CRAS de Parada Morabi,,,Anhang� - 00,00,00,Escola Municipal General Eduardo Gomes, rua da Lapa, Parada Morabi,Parada Morabi,25265000,-22.6573009\,-43.23074650000001,2023-10-03T04:07:49.655Z
33017037941,330170,RJ,Duque de Caxias,CRAS XER�M,,,N�BREGA RIBEIRO - 15,15,,Pr�ximo ao Posto de Sa�de de Xer�m,Ns Sra. das Gra�as - Xer�m,25500000,-22.599748429077337\,-43.2931923866272,2023-10-03T04:07:50.172Z
33017038288,330170,RJ,Duque de Caxias,CRAS CENTENARIO,,,FRANCISCA TOME - 842,842,,,Centenario,25030210,-22.7765403\,-43.31307449999997,2023-10-03T04:07:51.662Z
33017038484,330170,RJ,Duque de Caxias,CRAS VILA MARIA HELENA,,,Antenor Resende - 100,100,,,Vila Maria Helena,25251750,-22.6626268\,-43.28354690000003,2023-10-03T04:07:51.662Z
33018003197,330180,RJ,Engenheiro Paulo de Frontin,CRAS 1,,,Ant�nio Mauricio, S/N - 0,0,,,Centro,26650000,-22.548787740233593\,-43.677027225494385,2023-10-03T04:07:45.679Z
33018003228,330180,RJ,Engenheiro Paulo de Frontin,CRAS 2,,,Joquim Mendes - 349,349,,,Morro Azul,26650000,-22.547318774699917\,-43.676123321056366,2023-10-03T04:07:45.679Z
33018501922,330185,RJ,Guapimirim,CRAS PAULO ANT�NIO XAVIER DAIM,,,Praianos - 875,875,casa,,Jardim Guapimirim,25943374,-22.5647436\,-42.9978746,2023-10-03T04:07:45.679Z
33018501928,330185,RJ,Guapimirim,CRAS MARIA MERCEDES ROSA DE CARVALHO,,,Rua Jos� Maria da Silva - 1443,1443,casa,Em frente a Pra�a do Vale das Pedrinhas,Vale das Pedrinhas,25940690,-22.643481907940544\,-42.999372482299805,2023-10-03T04:07:45.745Z
